",",COLLEGE NAME, WEBSITE,ADRESS
1,"Abhinava Bharathi College of Pharmacy, Mandya",,
2,"Academy Of Management Studies, Hyderabad",http://www.useams.org/,
3,"Academy Of Mass Communication, Lucknow",https://www.amclko.org/,
4,"Acharaya Shri Chander College Of Medical Sciences, Jammu",http://ascomscollege.com/,
5,"Acharya Institutes of Science & Management, Bangalore",https://www.acharya.ac.in/,
6,"Acharya Panth Shri GMNS Government College, Kawardha",https://pgcollegekawardha.edu.in/,
7,"ACME College Of Information Technology ACIT, Hyderabad",http://acmecollege.com/,
8,"Adarsh College Of Education, Jind",http://www.adarshcollegeedu.co.in/ContactUs.aspx,
9,"Adhiyamaan Polytechnic College, Hosur",http://www.adhiyamaanpolytech.in/,
10,Aditya Engineering College,https://www.aec.edu.in/,
11,"Aditya Institute of Technology And Management (AITAM), Srikakulam",http://www.adityatekkali.edu.in/,
12,Administrative Staff College of India,https://www.asci.org.in/,
13,"Agartala Government Medical College, Agartala",http://www.agmc.nic.in/,
14,"Ahmedabad Institute Of Nursing Science, Lapkaman",https://www.ainsahmedabad.org/,
15,"Aizawl Theological College, Aizawl",https://atc.edu.in/,
16,"AKRG Degree College, Nallajerla",null,
17,"Al Ameen Memorial Minority College, Baruipur",https://ammcollege.in/,
18,"Al Hafeez College, Ara",https://alhafeezcollege.org/,
19,"Alipurduar College, Alipurduar",https://alipurduarcollege.ac.in/,
20,"All India Institute Of Medical Sciences AIIMS, Jodhpur",https://www.aiimsjodhpur.edu.in/,
21,"All India Institute of Medical Sciences, Bhopal (AIIMS Bhopal)",https://aiimsbhopal.edu.in/index_controller/index,
22,"Alpha College Of Engineering And Technology, Puducherry",http://www.aceatech.com/,
23,"Ambedkar College, Fatikroy",http://actripura.edu.in/,
24,"Ambedkar Institute of Management Studies, Visakhapatnam",https://aimsbschool.org/,
25,"Amity Business School, Jaipur",https://www.amity.edu/jaipur/abs/,
26,"Amjad Ali Khan College Of Business Administration, Hyderabad",http://amjadalikhancollege.edu.in/,
27,"Ampati Degree College, Ampati",http://ampatidegreecollege.in/,
28,"Ananda Chandra College Of Commerce, Jalpaiguri",https://www.accommercejpg.org/,
29,"Ananda Chandra Training College, Jalpaiguri",https://www.actrainingcollege.org/,
30,"Andhra Christian Theological College ACTC, Hyderabad",http://www.actc.edu.in/,
31,"Andhra Loyola College, Vijayawada",http://www.andhraloyolacollege.ac.in/,
32,"Andhra Medical College, Visakhapatnam",http://www.amc.edu.in/,
33,"Anil Neerukonda Institute of Technology & Sciences (ANITS), Vishakapatnam",https://www.indcareer.com/andhra-pradesh/visakhapatnam/www.anits.edu.in,
34,"Annabattuni Satyanarayana Degree College, Tenali",null,
35,Annamacharya Institute of Technology & Science,null,
36,"Anushree Homoeopathic Medical College AHMC, Jabalpur",http://anushreecollege.com/home.php,
37,"APS College Of Nursing, Jalandhar",http://apscollegeofnursing.com/,
38,"AQJ Centre for PG Studies, Visakhapatnam",http://www.aqjpgstudies.org/,
39,"AR College Of Pharmacy & GH Patel Institute Of Pharmacy, Vallabh Vidyanagar",http://www.arghpharmacy.ac.in/,
40,"Arafa Arts And Science College, Thrissur",http://www.arafatrust.org/arafa_arts_science.html,
41,"Aries International Maritime Research Institute, Cochin",https://aimri.in/,
42,"Arvind Mahila College, Patna",http://www.samcpatna.org/,
43,"Arvindbhai Patel Institute Of Environmental Design APIED, Anand",http://www.apied.edu.in/,
44,"Arya School Of Management & Information Technology ASMIT, Bhubaneswar",https://www.aryamgt.ac.in/,
45,"Aryan College Of Education, Roorkee",http://aryanedu.com/,
46,"Aryavart College Of Education, Muana",http://www.aryavartgyan.com/,
47,"Asha Academy For BEd, Roorkee",http://ashaacademy.org/,
48,"Asian School of Architecture & Design Innovations (ASADI), Kochi",https://www.asadi.edu.in/,
49,"ASNM Government Degree College, West Godavari",http://sriasnmgdcpalakol.in/,
50,"ASR College of Engineering, Tanuku",http://asrgroup.co.in/asrcoe/,
51,"Atal Bihari Vajpayee Govt. College, Nagarda",null,
52,"Audisankara Institute of Technology (ASIT), Gudur",null,
53,"Avanthi Institute of Engineering & Technology, Visakhapatnam",http://avanthienggcollege.ac.in/,
54,Avinashilingam Institute for Home Science and Higher Education for Women,http://avinuty.ac.in/maincampus/,
55,"B S S Mahila College, Dhanbad",http://bssmc.in/,
56,"BA & KR Degree & PG College, Ongole",null,
57,"Baba Farid Institute Of Technology BFIT, Dehradun",https://bfitdoon.com/,
58,"Babu Shobha Ram Government Arts College, Alwar",https://hte.rajasthan.gov.in/college/gcaalwar,
59,"Bagwanlal K Modi Govt Pharmacy College, Rajkot",http://www.bkmp.cteguj.in/,
60,"Bakshirhat MahavidyalayaC, Cooch Behar",https://www.bakshirhatmahavidyalaya.org/,
61,"Balaji Institute of Engineering and Management, Nellore",http://beam.edu.in/,
62,"Balasore Mahila College, Balasore",null,
63,"Bapatla College of Pharmacy, Guntur",http://www.bcop.net/,
64,Bapatla Engineering College,null,
65,"Bapatla Engineering College, Bapatla",http://www.becbapatla.ac.in/,
66,"Basaveshwar Science College, Bagalkot",https://www.bvvsbscbgk.org/,
67,"BCARE Institute Of Management & Technology, Nabagram",http://bimt.org.in/,
68,"Bhai Gurdas College Of Law, Sangrur",https://bgcl.net.in/,
69,"Bhai Gurdas Institute Of Engineering & Technology BGIET, Sangrur",https://bgiet.ac.in/,
70,"Bhai Gurdas Institute Of Nursing BGIN, Sangrur",https://bgin.co.in/,
71,"Bhai Gurdas Polytechnic College BGPC, Sangrur",https://bgpc.in/,
72,"Bhai Surender Kumar Memorial College Of Education, Jind",http://www.bskmcollege.info/,
73,"Bhanu Pratap Dev Govt PG College, Kanker",https://govtbpdpgcollege.com/,
74,"Bharath Institute of Science and Technology (BIST), Chennai",https://www.bharathuniv.ac.in/,
75,"Bhaskara Institute Of Pharmacy, Bobbili",null,
76,"Bhavans Tripura College Of Science And Technology, Agartala",http://www.btcstagartala.org/,
77,"Bhavans Tripura College Of Teacher Education, Agartala",https://www.btcte.in/,
78,"Bhubaneswar Institute Of Technology BIT, Bhubaneswar",https://bit.edu.in/,
79,"Bidar Vidya Kendar Shanthiniketan,Chidri Bidar",null,
80,"Bihar College of Pharmacy,Patna",https://biharcollegeofpharmacy.com/,
81,"Bijanbari Degree College, Darjeeling",http://www.bijanbaridegreecollege.org/,
82,"Biju Patnaik Institute Of Information Technology And Management Studies BIITM, Bhubaneswar",https://www.biitm.ac.in/,
83,"Bir Bikram Memorial College, Agartala",http://www.bbmc.nic.in/,
84,"Birla Institute Of Technology BIT, Deoghar",https://www.bitmesra.ac.in/,
85,"Birla Institute Of Technology BIT, Jaipur",https://www.bitmesra.ac.in/BIT_Mesra?cid=5&pid=H,
